number,team,player,speed,dash,shotpower,curlskill,balance,intelligence,jump,dribble,stamina
4,Poland,Kowalski,8,7,8,6,7,6,7,5,8
5,Poland,Ruduicki,7,7,6,7,8,9,7,9,9
6,Poland,Konwicki,7,9,6,8,9,7,6,8,9
7,Poland,Najda,9,7,7,8,9,8,7,8,8
8,Poland,Jando,9,9,6,8,7,9,8,9,9
9,Poland,Gierek,8,8,6,7,9,8,8,7,8
10,Poland,Musiol,8,7,6,8,8,7,6,8,7
11,Poland,jagodo,8,7,5,7,8,7,5,8,7
12,Poland,Gurdek,6,8,6,4,7,6,7,5,8
13,Poland,Halaba,7,5,8,6,8,5,6,6,7
14,Poland,Rzeszoto,7,5,6,5,6,5,8,5,9
15,Poland,Kozina,9,5,7,5,6,7,8,6,8
16,Poland,Kubuszok,8,9,6,8,8,9,7,7,8
17,Poland,Turecki,8,6,6,6,6,7,5,7,8
18,Poland,Nawrocki,7,7,6,7,8,7,7,8,7
19,Poland,Lapicki,9,7,5,7,7,6,6,7,8
20,Poland,Lach,9,7,5,7,8,8,5,6,8
1,Portugal,Ribeiro,7,7,6,5,7,5,8,6,7
2,Portugal,Silva,8,5,7,7,6,6,6,7,7
3,Portugal,Meneses,7,6,7,7,6,6,8,8,6
4,Portugal,Oliveira,6,6,6,6,8,5,7,7,7
5,Portugal,Ferreira,6,5,8,6,8,6,6,6,7
6,Portugal,Felix,7,7,6,8,7,9,6,8,9
7,Portugal,Santos,7,8,5,7,8,8,7,9,8
8,Portugal,Duarte,8,8,6,9,9,8,6,8,8
9,Portugal,Correia,9,8,7,8,9,9,7,8,7
10,Portugal,Matoso,8,8,6,8,7,8,7,7,9
11,Portugal,Paz,9,8,6,7,8,8,7,7,9
12,Portugal,Marques,6,6,5,5,7,5,7,7,8
13,Portugal,Lopes,7,6,8,6,7,6,8,8,7
14,Portugal,Pulido,6,6,6,7,7,7,7,8,7
15,Portugal,Carlos,8,7,5,7,8,8,7,7,7
16,Portugal,Barbosa,8,8,6,9,8,9,7,7,7
17,Portugal,Marinho,7,8,6,8,7,8,7,7,9
18,Portugal,Machado,8,8,7,7,7,8,8,8,7
19,Portugal,Neves,8,9,6,7,7,9,7,8,9
20,Portugal,Godinho,8,9,6,8,9,9,6,8,8
1,Romania,Popescu,8,9,6,5,9,5,8,7,7
2,Romania,Iliescu,8,6,7,6,8,7,7,8,9
3,Romania,Holowaty,7,8,7,6,7,8,9,8,8
4,Romania,Rus,8,8,7,5,8,6,8,6,8
5,Romania,Cavol,7,7,7,5,7,8,7,7,8
6,Romania,Gane,8,8,7,8,8,7,7,8,9
7,Romania,Fejer,8,9,5,7,9,8,7,7,9
8,Romania,Milescu,7,8,7,9,8,7,8,8,8
9,Romania,Kantamir,9,9,6,8,7,9,8,8,7
10,Romania,Costan,9,8,10,10,9,10,7,9,8
11,Romania,Breszul,9,9,6,8,8,9,7,9,8
12,Romania,Balcescu,8,9,5,6,9,7,7,7,7
13,Romania,Josif,8,6,7,5,7,7,7,7,9
14,Romania,Dracul,8,6,7,7,7,6,9,8,8
15,Romania,Rodeanu,8,7,7,7,9,9,8,8,7
16,Romania,Dumitru,7,8,6,9,8,8,7,9,7
17,Romania,Andrescu,8,9,6,8,8,8,7,9,9
18,Romania,Dobrin,8,7,5,7,7,8,6,9,9
19,Romania,Neagu,9,7,6,8,8,8,7,9,7
20,Romania,Mocanu,8,7,5,9,8,9,7,8,7
1,Russia,Smirnov,7,6,6,3,6,5,7,4,6
2,Russia,Borodin,6,6,6,4,7,7,7,5,8
3,Russia,Petrov,8,6,7,5,8,6,6,7,7
4,Russia,Shalimov,8,6,6,5,8,6,7,6,6
5,Russia,Yashin,7,6,8,5,7,6,8,6,7
6,Russia,Krylov,6,5,8,5,6,7,7,7,6
7,Russia,Jasykov,8,8,6,8,7,6,7,6,8
8,Russia,Kushkov,6,7,5,7,8,8,7,6,7
9,Russia,Urbanov,7,7,7,6,7,7,5,7,7
10,Russia,Georgy,6,6,5,7,7,8,7,7,7
11,Russia,Dmitriov,8,7,5,7,8,6,5,6,6
12,Russia,Karasov,7,5,5,3,7,3,6,5,5
13,Russia,Andropov,7,7,8,4,7,6,8,6,6
14,Russia,Aleksov,7,7,6,6,6,6,6,6,6
15,Russia,Vasilov,6,8,6,7,8,8,6,7,6
16,Russia,Ditschko,6,6,5,8,7,7,5,6,6
17,Russia,Baranov,7,8,5,7,7,7,5,6,7
18,Russia,Rogosin,6,6,5,7,7,6,6,7,8
19,Russia,Kisselev,8,8,7,7,7,8,6,8,7
20,Russia,Barenkov,8,8,7,7,7,8,6,8,6
1,Scotland,G.McCall,7,8,6,3,7,5,7,6,7
2,Scotland,H.Durie,7,6,6,4,8,7,9,6,8
3,Scotland,Roberto,7,5,8,5,7,6,7,6,9
4,Scotland,McClair,7,6,6,6,7,6,8,5,9
5,Scotland,P.Malpas,7,6,7,5,7,5,7,7,9
6,Scotland,Marshall,6,7,6,8,6,7,7,6,8
7,Scotland,Pherson,8,7,5,7,8,7,8,7,8
8,Scotland,M.McStay,7,7,7,7,7,8,9,7,7
9,Scotland,Gallach,6,7,6,7,6,6,8,6,8
10,Scotland,N.Gough,6,8,6,7,8,8,8,7,8
11,Scotland,McLaren,6,8,6,6,8,7,8,6,9
12,Scotland,P.Boyd,7,6,7,3,7,4,8,5,9
13,Scotland,Hastings,7,6,6,4,7,5,8,6,7
14,Scotland,K.Wyatt,7,6,8,5,6,6,8,6,8
15,Scotland,L.Goram,7,7,6,7,8,7,8,7,8
16,Scotland,McEvoy,7,8,6,6,7,8,7,6,8
17,Scotland,Jacks,6,6,6,6,6,8,7,7,7
18,Scotland,McNab,6,6,6,7,8,7,8,7,8
19,Scotland,Callum,7,8,6,7,6,7,8,6,8
20,Scotland,Connors,6,6,6,7,7,7,9,7,9
1,South Korea,Song,7,5,5,3,6,4,5,4,8
2,South Korea,Taek,8,6,6,4,6,5,7,5,7
3,South Korea,Yang,9,7,7,7,6,7,5,4,8
4,South Korea,Ye,8,7,8,3,6,5,7,5,7
5,South Korea,Choi,8,8,6,7,7,6,6,6,7
6,South Korea,Kim,8,7,6,6,7,6,5,7,8
7,South Korea,Yun,7,9,6,6,6,5,5,7,7
8,South Korea,Park,7,7,6,6,7,6,5,6,8
9,South Korea,Lee,8,8,6,6,6,5,5,6,9
10,South Korea,Hwan,8,7,7,5,7,5,4,7,9
11,South Korea,Chong,8,8,6,5,5,5,5,6,8
12,South Korea,Sin,5,6,7,3,6,3,6,5,7
13,South Korea,Hong,8,7,7,3,6,5,6,5,8
14,South Korea,Ko,8,8,7,5,7,4,6,5,8
15,South Korea,Gu,7,6,8,4,6,5,5,5,7
16,South Korea,Yun,8,7,6,7,6,6,5,7,9
17,South Korea,Chon,7,8,6,5,7,7,6,6,9
18,South Korea,Pak,7,7,5,6,5,5,5,6,8
19,South Korea,Cha,7,8,5,6,6,7,6,6,8
20,South Korea,Choi,8,8,7,6,6,6,6,6,8
1,Spain,Carlos,8,7,6,4,8,5,7,6,8
2,Spain,Romero,8,7,7,5,9,7,8,6,7
3,Spain,Martinez,9,6,6,6,8,7,9,7,8
4,Spain,Alfredo,7,7,7,6,8,7,7,6,8
5,Spain,Perez,8,7,9,8,8,8,9,7,9
6,Spain,Camacho,9,8,7,9,9,9,7,9,7
7,Spain,Ortega,9,8,7,8,9,8,7,9,8
8,Spain,Serrano,9,8,5,9,9,7,7,7,8
9,Spain,Fuste,9,7,7,7,7,8,5,6,7
10,Spain,Garrido,8,8,6,7,8,6,9,8,6
11,Spain,Corierro,9,8,5,8,7,6,5,6,8
12,Spain,Clemente,7,7,7,3,8,6,7,5,6
13,Spain,Jacinto,9,8,6,6,8,7,9,7,8
14,Spain,Milan,9,7,7,6,8,7,9,7,8
15,Spain,Mendoza,7,7,8,5,7,8,7,7,8
16,Spain,Frutos,7,7,5,9,7,8,8,8,8
17,Spain,Asensio,9,8,6,9,8,9,6,9,8
18,Spain,Aranda,8,8,7,8,6,6,7,8,8
19,Spain,Vidal,8,8,7,7,6,7,5,6,7
20,Spain,Sanz,7,9,6,8,7,7,6,6,7
1,Sweden,Svensson,7,7,7,6,8,7,8,7,8
2,Sweden,Malm,6,6,7,5,8,5,8,5,8
3,Sweden,Lundgren,7,6,7,5,8,6,8,6,8
4,Sweden,Isaksson,7,7,8,4,9,5,9,5,9
5,Sweden,Ehrsson,6,5,8,5,8,7,8,7,8
6,Sweden,Enback,8,8,7,9,8,8,8,8,9
7,Sweden,Nilsson,9,8,5,9,7,9,9,7,8
8,Sweden,Lundsson,8,7,6,9,8,8,8,8,9
9,Sweden,Stenmark,8,9,7,8,7,7,10,7,9
10,Sweden,Hansson,9,9,6,8,8,8,7,8,9
11,Sweden,Magnus,9,9,6,8,8,8,10,8,8
12,Sweden,Erling,7,7,5,4,8,6,7,5,8
13,Sweden,Jansson,8,6,7,4,8,6,9,6,9
14,Sweden,Thorn,7,6,6,5,8,7,8,6,8
15,Sweden,Borg,8,8,6,8,8,8,9,7,8
16,Sweden,Bergsten,7,9,5,7,8,9,7,9,8
17,Sweden,Axborn,8,7,7,7,8,8,8,9,9
18,Sweden,Gren,8,8,6,9,8,7,8,8,8
19,Sweden,Skoglund,8,8,6,7,9,8,7,8,8
20,Sweden,Persson,7,8,5,8,8,7,8,8,9
1,Swiss,Steiner,8,7,6,5,8,6,8,6,8
2,Swiss,Rodelli,8,7,7,6,8,7,8,8,8
3,Swiss,Burgi,7,6,7,5,9,8,9,7,7
4,Swiss,Rother,8,7,6,7,7,7,8,7,9
5,Swiss,Francon,9,7,7,5,9,7,7,7,8
6,Swiss,Bauer,7,7,6,7,8,8,6,7,8
7,Swiss,Hauser,9,9,7,7,8,8,6,9,6
8,Swiss,Meyer,6,6,7,8,7,7,6,8,8
9,Swiss,Umbro,9,9,7,7,7,7,6,7,7
10,Swiss,Stadler,6,6,7,7,6,8,6,7,7
11,Swiss,Strolch,8,8,6,7,7,8,5,6,6
12,Swiss,Somfi,7,8,6,4,7,4,6,6,7
13,Swiss,Rutli,9,6,7,6,8,7,7,6,7
14,Swiss,Oetinger,7,7,8,6,7,7,8,7,7
15,Swiss,Gagnon,8,7,6,7,8,7,6,7,8
16,Swiss,Angehrn,8,7,6,6,6,7,6,6,6
17,Swiss,Roscher,8,7,7,6,7,7,7,7,6
18,Swiss,Traser,8,6,7,7,6,7,6,6,7
19,Swiss,Delongi,8,7,5,7,8,7,5,7,6
20,Swiss,Cassler,7,6,6,6,7,8,6,7,7
1,Turkey,Serkan,6,8,7,3,6,6,7,6,6
2,Turkey,Bayture,8,6,7,5,7,7,7,7,7
3,Turkey,Ersoz,7,5,7,5,6,5,7,6,6
4,Turkey,Mahir,6,6,6,5,7,6,7,6,8
5,Turkey,Alper,8,7,8,4,7,6,6,5,7
6,Turkey,Dasdemir,7,7,7,7,7,7,5,8,8
7,Turkey,Tamer,6,6,6,7,6,6,8,8,8
8,Turkey,Nadir,7,6,6,6,7,8,7,6,6
9,Turkey,Namuk,7,6,6,6,8,7,5,6,7
10,Turkey,Yasar,8,6,5,7,7,6,6,7,8
11,Turkey,Agircan,7,7,7,7,7,7,7,6,7
12,Turkey,Genc,8,7,7,5,7,6,6,5,7
13,Turkey,Sevim,7,6,6,5,6,6,8,7,7
14,Turkey,Celal,6,6,7,5,6,6,8,7,6
15,Turkey,Fatih,7,7,5,7,7,7,7,7,8
16,Turkey,Mustava,8,7,6,7,7,8,6,8,8
17,Turkey,Zulfu,7,6,7,7,8,6,6,7,8
18,Turkey,Cankaya,7,7,5,6,7,6,6,7,6
19,Turkey,Goktan,6,7,7,7,8,7,6,7,6
20,Turkey,Ozturk,6,6,6,7,7,7,5,7,6
1,Uruguay,Ventura,5,5,5,3,5,5,5,7,6
2,Uruguay,Ancheta,8,7,7,5,7,5,7,7,7
3,Uruguay,Vargas,6,6,7,5,7,7,8,7,7
4,Uruguay,Cortes,6,6,8,5,6,6,8,7,6
5,Uruguay,Umberto,7,6,6,5,7,6,7,6,8
6,Uruguay,Castello,6,8,6,7,6,8,7,8,8
7,Uruguay,Grieco,7,7,6,7,8,7,5,8,7
8,Uruguay,Caetano,7,6,6,8,7,7,5,8,7
9,Uruguay,Silva,8,8,5,7,7,8,6,8,7
10,Uruguay,China,9,7,6,7,6,8,6,8,6
11,Uruguay,Yanez,8,6,6,7,7,7,6,9,8
12,Uruguay,Rocha,6,7,6,3,6,4,6,7,7
13,Uruguay,Ruiz,8,6,7,5,8,7,6,7,7
14,Uruguay,Rivas,6,6,7,5,8,7,7,7,7
15,Uruguay,Munoz,7,8,6,6,7,6,7,9,8
16,Uruguay,Ruiz,8,7,5,6,7,7,5,8,7
17,Uruguay,del Pozo,8,7,6,7,6,7,6,7,8
18,Uruguay,Alario,7,7,5,7,6,7,5,9,6
19,Uruguay,Mateos,7,6,6,8,7,8,6,8,7
20,Uruguay,Zamon,8,7,5,8,7,7,6,7,6
1,USA,Duke,6,7,7,4,6,5,7,5,7
2,USA,Herman,9,6,7,7,8,6,7,6,7
3,USA,Doughty,9,6,7,7,8,7,8,7,7
4,USA,Ewing,8,7,7,5,8,6,8,8,9
5,USA,Lawson,9,7,7,6,8,8,9,7,7
6,USA,Marcion,6,6,6,5,5,6,5,6,6
7,USA,Noyes,6,5,6,7,5,6,5,7,5
8,USA,Amati,6,6,6,7,7,7,6,6,5
9,USA,Griffin,6,6,6,6,6,6,5,7,5
10,USA,Paccary,8,7,6,6,6,6,5,5,6
11,USA,King,8,8,7,6,6,5,4,6,6
12,USA,Allejano,7,8,7,4,6,6,7,6,7
13,USA,Mead,8,7,7,6,7,8,7,6,7
14,USA,Stern,8,7,7,5,7,7,7,6,7
15,USA,Doyle,6,7,6,6,5,6,5,6,6
16,USA,White,5,5,7,6,7,6,5,5,6
17,USA,Michaels,9,8,7,6,7,7,6,6,7
18,USA,Foster,7,6,6,7,5,5,4,5,6
19,USA,Goodman,6,6,7,5,5,7,5,5,7
20,USA,Turner,6,6,5,7,6,6,5,7,7
1,Wales,E.Young,6,8,6,5,6,5,7,4,8
2,Wales,F.Horne,6,7,8,5,7,5,8,6,9
3,Wales,Phillips,7,7,7,4,6,7,8,6,9
4,Wales,S.Gibbs,7,7,8,4,7,6,9,5,7
5,Wales,C.Huges,7,5,8,6,7,6,8,7,8
6,Wales,R.Jones,8,7,6,7,7,7,7,8,8
7,Wales,J.Walker,8,7,6,7,7,7,9,7,7
8,Wales,H.Moon,8,6,6,6,7,7,9,7,9
9,Wales,M.Black,7,6,7,6,8,6,7,8,7
10,Wales,Melville,9,9,7,6,7,7,8,9,8
11,Wales,Jenkins,8,8,5,7,6,7,8,7,7
12,Wales,Edwards,6,8,6,4,7,4,7,4,9
13,Wales,Saunders,7,6,7,6,7,6,7,6,7
14,Wales,Southall,8,6,8,5,8,5,8,5,9
15,Wales,D.Bowen,8,8,6,7,8,8,7,7,7
16,Wales,Hughes,8,7,5,8,7,6,9,8,8
17,Wales,Evans,7,6,7,6,6,8,7,7,8
18,Wales,Hendry,8,7,6,7,7,8,9,7,7
19,Wales,Swain,7,7,6,7,7,6,9,6,7
20,Wales,Giggs,7,7,6,6,7,7,9,7,8
